op,rt,func,regWr,regDst,exceptionEn,shifterSRC,shifterCtr,whereToReg,aluCtr,aluSrc,extOp,branch,branchCond,jump,jumpSrc
0,0,100000,1,1,1,-1,-1,3,1110,0,-1,0,-1,0,0
0,0,100010,1,1,1,-1,-1,3,1111,0,-1,0,-1,0,0
0,0,100100,1,1,0,-1,-1,3,0100,0,-1,0,-1,0,0
0,0,100101,1,1,0,-1,-1,3,0110,0,-1,0,-1,0,0
0,0,100110,1,1,0,-1,-1,3,1001,0,-1,0,-1,0,0
0,0,101010,1,1,0,-1,-1,4,0101,0,-1,0,-1,0,0
0,0,101011,1,1,0,-1,-1,4,0111,0,-1,0,-1,0,0
0,0,0,1,1,0,1,00,0,-1,-1,-1,0,-1,0,0
0,0,10,1,1,0,1,01,0,-1,-1,-1,0,-1,0,0
0,0,11,1,1,0,1,10,0,-1,-1,-1,0,-1,0,0
0,0,100,1,1,0,0,00,0,-1,-1,-1,0,-1,0,0
0,0,110,1,1,0,0,01,0,-1,-1,-1,0,-1,0,0
0,0,111,1,1,0,0,10,0,-1,-1,-1,0,-1,0,0
0,0,1001,1,1,0,-1,-1,2,-1,-1,-1,0,-1,1,1
1,0,111111,0,-1,-1,-1,-1,-1,0101,2,-1,1,0,0,-1
1,1,111111,0,-1,-1,-1,-1,-1,0101,2,-1,1,1,0,-1
100,0,111111,0,-1,-1,-1,-1,-1,0101,0,-1,1,2,0,-1
101,0,111111,0,-1,-1,-1,-1,-1,0101,0,-1,1,3,0,-1
1000,0,111111,1,0,1,-1,-1,3,1110,1,1,0,-1,0,-1
1100,0,111111,1,0,0,-1,-1,3,0100,1,0,0,-1,0,-1
1101,0,111111,1,0,0,-1,-1,3,0110,1,0,0,-1,0,-1
1110,0,111111,1,0,0,-1,-1,3,1001,1,0,0,-1,0,-1
1010,0,111111,1,0,0,-1,-1,4,0101,1,1,0,-1,0,-1
1011,0,111111,1,0,0,-1,-1,4,0111,1,1,0,-1,0,-1
1111,0,111111,1,0,0,-1,-1,1,-1,-1,-1,0,-1,0,-1
11,0,111111,1,2,0,-1,-1,2,-1,-1,-1,0,-1,1,0
